onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
41.933	0.433	FIXA	2128.8	1325.3	2142.9	1329.7	0.189	5.077	0.693	1.192
42.367	0.033	ISAC	2140.3	1327.9	2111.1	1327.9	0.375	22.474	12.454	12.454
42.400	0.267	FIXA	2111.1	1328.1	2118.1	1320.2	0.135	6.798	0.577	1.697
42.667	0.033	ISAC	2118.1	1319.7	2115.1	1302.9	0.219	13.135	6.760	6.760
42.700	0.083	FIXA	2115.0	1302.9	2115.3	1299.6	0.043	4.541	0.231	1.370
42.783	0.083	ISAC	2112.8	1299.6	2173.2	1356.2	1.062	61.645	1.924	14.068
42.867	0.417	FIXA	2173.2	1356.2	2178.3	1350.9	0.094	7.312	1.001	1.646
43.283	0.050	ISAC	2179.0	1357.1	2127.5	1281.3	1.176	70.532	4.802	25.111
43.333	0.250	FIXA	2127.5	1281.3	2126.8	1296.2	0.191	5.003	1.231	1.853
43.583	0.050	ISAC	2128.9	1294.9	2141.6	1338.5	0.583	34.931	1.901	12.303
43.633	0.333	FIXA	2141.6	1338.5	2146.2	1336.4	0.065	4.752	0.308	1.024
43.967	0.050	ISAC	2146.9	1336.3	2157.2	1351.9	0.240	14.304	0.544	5.001
44.017	1.483	FIXA	2157.2	1351.9	2152.1	1310.7	0.533	10.100	1.000	1.602
