subject_id,game_difficulty,world_number,experience,game_status,trial,score,time,t_end,duration,x_start,y_start,x_end,y_end,amplitude,angle,sacc_x_end,sacc_y_end,player_x_field,player_y_field,amplitude_deg,sacc_duration_calculated,diff_in_calculation
PI10MA,easy,7,3,timed_out,22.0,17521.0,18622.0,18855.0,233.0,1278.699951171875,891.5999755859375,1259.9000244140625,888.2000122070312,19.104894584294833,-2.9626766870978165,1259.9000244140625,888.2000122070312,10,9,0.31816509454353914,21.699963207995786,211.30003679200422
PI10MA,easy,7,3,timed_out,22.0,17521.0,18872.0,19005.0,133.0,1260.300048828125,888.7000122070312,1265.5,889.4000244140625,5.2468570859017065,0.1338145247728243,1265.5,889.4000244140625,10,9,0.08737984071779209,21.192235649579143,111.80776435042085
PI10MA,easy,7,3,timed_out,22.0,17521.0,21572.0,21722.0,150.0,1987.0999755859373,1057.1000061035156,2119.800048828125,1089.0,136.48047131028574,0.2359152982662692,2119.800048828125,1089.0,8,9,2.2717221028101147,25.997788626182253,124.00221137381774
PI10MA,easy,7,3,timed_out,22.0,17521.0,27022.0,27239.0,217.0,1060.800048828125,1001.5,1082.800048828125,991.2999877929688,24.24954121264125,-0.43413634114385685,1082.800048828125,991.2999877929688,8,10,0.4038393971836006,21.888446673803923,195.1115533261961
PI10MA,easy,7,3,timed_out,22.0,17521.0,27256.0,27356.0,100.0,1084.5,991.7999877929688,1088.4000244140625,996.2999877929688,5.9548459619274405,0.856702529959776,1088.4000244140625,996.2999877929688,8,10,0.09917048757412568,21.218175072663076,78.78182492733693
PI10MA,easy,7,3,timed_out,22.0,17521.0,33257.0,33506.0,249.0,1467.5,1073.8999938964844,1451.5999755859375,1086.7999877929688,20.47487775048041,2.4599878133959185,1451.5999755859375,1086.7999877929688,11,10,0.3409797127719321,21.750155368098252,227.24984463190174
PI10MA,easy,7,3,timed_out,22.0,17521.0,35039.0,35273.0,234.0,1446.4000244140625,1246.8000030517578,1439.0,1243.1000061035156,8.273471988574238,-2.677946694183723,1439.0,1243.1000061035156,11,12,0.13778416671229354,21.303125166767046,212.69687483323295
PI10MA,easy,7,3,timed_out,22.0,17521.0,37339.0,37440.0,101.0,1227.9000244140625,1368.5,1234.0999755859375,1371.5,6.887626190033413,0.45066441388227324,1234.0999755859375,1371.5,10,13,0.11470473315888044,21.252350412949536,79.74764958705046
PI10MA,easy,7,3,timed_out,22.0,17521.0,37456.0,37673.0,217.0,1235.300048828125,1375.0,1182.5,1394.900001525879,56.42566097957885,2.781162857965485,1182.5,1394.900001525879,10,13,0.9396152788306056,23.067153613427333,193.93284638657266
PI10MA,easy,7,3,timed_out,22.0,17521.0,38156.0,38273.0,117.0,1179.199951171875,1390.400001525879,1185.0999755859375,1392.7999992370603,6.36948012793898,0.38633543770685935,1185.0999755859375,1392.7999992370603,10,13,0.10607568407618966,21.233366504967616,95.76663349503238
PI10MA,easy,7,3,timed_out,22.0,17521.0,39556.0,39790.0,234.0,1198.300048828125,1378.2000007629397,1220.0,1406.0,35.26652574953072,0.9080133773219107,1220.0,1406.0,9,13,0.5872997518730675,22.29205945412075,211.70794054587924
PI10MA,easy,7,3,timed_out,22.0,17521.0,39806.0,40040.0,234.0,1223.199951171875,1405.900001525879,1200.0,1412.1000003814695,24.01411501985257,2.880453302285427,1200.0,1412.1000003814695,9,13,0.39991885832125434,21.87982148830676,212.12017851169324
PI10MA,easy,7,3,timed_out,22.0,17521.0,40056.0,40206.0,150.0,1192.300048828125,1415.5,1200.699951171875,1416.7999992370603,8.499903375973997,0.1535454509935629,1200.699951171875,1416.7999992370603,9,13,0.14155507870782066,21.311421173157207,128.6885788268428
PI10MA,easy,8,3,won,7.0,17521.0,1776.0,2032.0,256.0,1046.0999755859375,133.800048828125,1167.0,105.300048828125,124.21379111564427,-0.23150550245148935,1167.0,105.300048828125,9,0,2.0677287652189014,25.549003283481582,230.45099671651843
PI10MA,easy,8,3,won,7.0,17521.0,2768.0,2992.0,224.0,1209.9000244140625,250.9000244140625,1057.300048828125,173.5999755859375,171.06153891994316,-2.672716014940187,1057.300048828125,173.5999755859375,8,0,2.8464739907778243,27.262242779711215,196.73775722028878
PI10MA,easy,8,3,won,7.0,17521.0,4835.0,4946.0,111.0,640.7000122070312,386.699951171875,631.2999877929688,388.4000244140625,9.552523646334144,2.962668393027904,631.2999877929688,388.4000244140625,5,0,0.15908504522819764,21.349987099502034,89.65001290049797
PI10MA,easy,8,3,won,7.0,17521.0,14049.0,14165.0,116.0,1157.0,909.4000244140624,942.5999755859376,875.2000122070312,217.11059694015773,-2.983410356032785,942.5999755859376,875.2000122070312,8,9,3.6109199218127395,28.944023827988026,87.05597617201198
PI10MA,easy,8,3,won,7.0,17521.0,14182.0,14382.0,200.0,747.2999877929688,879.4000244140625,738.7000122070312,871.5999755859375,11.610354938581992,-2.4049318136774347,738.7000122070312,871.5999755859375,8,9,0.19335535233052054,21.425381775127146,178.57461822487286
PI10MA,easy,8,3,won,7.0,17521.0,18465.0,18615.0,150.0,817.9000244140625,944.2999877929688,822.0999755859375,941.2999877929688,5.161355427223956,-0.6202549846878763,822.0999755859375,941.2999877929688,6,9,0.08595591971302105,21.189103023368645,128.81089697663134
PI10MA,easy,8,3,won,7.0,17521.0,19715.0,19965.0,250.0,874.2000122070312,985.2999877929688,875.5,1057.8999938964844,72.61164406961444,1.5528920737411043,875.5,1057.8999938964844,6,10,1.2090775254882469,23.659970556074143,226.34002944392586
PI10MA,easy,8,3,won,7.0,17521.0,25382.0,25466.0,84.0,1095.300048828125,1139.5,1099.5,1143.0,5.467137262419354,0.6947439938149721,1099.5,1143.0,8,11,0.09104832542614673,21.200306315937524,62.799693684062476
PI10MA,easy,8,3,won,7.0,17521.0,25482.0,25632.0,150.0,1096.0,1151.7000122070312,1071.800048828125,1251.1999969482422,102.4006083977158,1.809379575562252,1071.800048828125,1251.1999969482422,8,11,1.7048520236382283,24.7506744520041,125.2493255479959
PI10MA,easy,8,3,won,7.0,17521.0,25649.0,25849.0,200.0,1220.800048828125,1306.8999938964844,1204.0999755859375,1328.8000030517578,27.540930399960843,2.222287559336683,1204.0999755859375,1328.8000030517578,8,11,0.45865029956756315,22.00903065904864,177.99096934095135
PI10MA,easy,8,3,won,7.0,17521.0,27799.0,27982.0,183.0,764.0,1267.3000030517578,699.0999755859375,1230.3000030517578,74.7061789207955,-2.623442882174757,699.0999755859375,1230.3000030517578,7,11,1.2439434270552818,23.73667553952162,159.26332446047837
PI10MA,easy,8,3,won,7.0,17521.0,28299.0,28416.0,117.0,920.2999877929688,1299.8000030517578,1185.0999755859375,1387.0,278.7882224968082,0.31812080957034733,1185.0999755859375,1387.0,7,11,4.63275017831425,31.19205039229135,85.80794960770865
PI10MA,easy,8,3,won,7.0,17521.0,28432.0,28616.0,184.0,1186.4000244140625,1389.2999992370603,1179.9000244140625,1385.2000007629397,7.685049608674727,-2.5788555987633,1179.9000244140625,1385.2000007629397,7,11,0.1279847732551674,21.281566501161368,162.71843349883864
PI10MA,easy,8,3,won,7.0,17521.0,38030.0,38190.0,160.0,1234.5,1290.5,1269.699951171875,1298.6000061035156,36.11989287607834,0.22617678016691542,1269.699951171875,1298.6000061035156,9,12,0.6015099952019071,22.323321989444196,137.6766780105558
PI10MA,easy,9,3,won,24.0,17521.0,11612.0,11762.0,150.0,1046.800048828125,790.2000122070312,1054.300048828125,791.4000244140625,7.595395269307846,0.15865684916354003,1054.300048828125,791.4000244140625,8,8,0.12649169860035786,21.27828173692079,128.7217182630792
PI10MA,easy,9,3,won,24.0,17521.0,16612.0,16804.0,192.0,893.5,878.7999877929688,520.2999877929688,856.5,373.865669147215,-3.08191016896072,520.2999877929688,856.5,8,9,6.201933493056982,34.64425368472536,157.35574631527464
PI10MA,easy,9,3,won,24.0,17521.0,20856.0,20952.0,96.0,579.9000244140625,932.6000061035156,586.2999877929688,933.1000061035156,6.4194650284382035,0.07796707815697336,586.2999877929688,933.1000061035156,6,9,0.10690811783039172,21.23519785922686,74.76480214077314
PI10MA,easy,9,3,won,24.0,17521.0,20968.0,21192.0,224.0,586.5999755859375,943.1000061035156,588.7000122070312,934.7999877929688,8.561568650974438,-1.3229811879265816,588.7000122070312,934.7999877929688,6,9,0.14258203119916893,21.31368046863817,202.68631953136182
PI10MA,easy,9,3,won,24.0,17521.0,21896.0,22041.0,145.0,615.5,911.5999755859376,644.0999755859375,910.0,28.644694541778893,-0.055884998526668214,644.0999755859375,910.0,5,9,0.47703089903984225,22.04946797788765,122.95053202211236
PI10MA,easy,9,3,won,24.0,17521.0,23519.0,23663.0,144.0,515.2999877929688,1116.8999938964844,461.7999877929688,1143.3999938964844,59.70343373709752,2.6816903454288226,461.7999877929688,1143.3999938964844,5,10,0.994186977444616,23.187211350378156,120.81278864962184
