subject_id,game_difficulty,world_number,0
AN06AN,normal,14,0.7632747456059205
AN06AN,normal,15,0.823307751494466
AN06AN,normal,16,0.8776401299756296
AN06AN,normal,17,0.9545511518888973
AN06AN,normal,18,0.8667340918668353
AN06AN,normal,19,0.8037929752205808
BE09KE,easy,0,0.9811151811151811
BE09KE,easy,1,0.8911779201577131
BE09KE,easy,2,0.8228440141133995
BE09KE,easy,3,0.8434868929004743
BE09KE,easy,4,0.8057250924095246
BE09KE,easy,5,0.8506680639245481
BE09KE,easy,6,0.9467692549265918
BE09KE,easy,7,0.9337694704049844
BE09KE,easy,8,0.9510086455331412
BE09KE,easy,9,0.9874632713026444
BE09KE,easy,10,0.9181994327595406
BE09KE,easy,11,0.9521416016528416
BE09KE,easy,12,0.8801099646542183
BE09KE,easy,13,0.8660883438029714
BE09KE,easy,14,0.866374411430427
BE09KE,easy,15,0.8019582048351269
BE09KE,easy,16,0.9089132558896971
BE09KE,easy,17,0.8115197690952695
BE09KE,easy,18,0.8522823629169022
BE09KE,easy,19,0.9603062092429827
BE09KE,hard,0,0.9279044445177682
BE09KE,hard,1,0.8870573273332029
BE09KE,hard,2,0.8622129436325678
BE09KE,hard,3,0.7979231320124135
BE09KE,hard,4,0.9194592035351675
BE09KE,hard,5,0.7428938199156427
BE09KE,hard,6,0.915431314414796
BE09KE,hard,7,0.9081214452994313
BE09KE,hard,8,0.9439125722543352
BE09KE,hard,9,0.8179357317499126
BE09KE,hard,10,0.946413065949969
BE09KE,hard,11,0.9873556435977409
BE09KE,hard,12,0.7793688243126445
BE09KE,hard,13,0.7988227560654954
BE09KE,hard,14,0.933329999833325
BE09KE,hard,15,0.8457226744961964
BE09KE,hard,16,0.9517563696668174
BE09KE,hard,17,0.8947027726831374
BE09KE,hard,18,0.8297431460060115
BE09KE,hard,19,0.8439515914058752
BE09KE,normal,0,0.8041793848321203
BE09KE,normal,1,0.644166861494272
BE09KE,normal,2,0.8169473402833467
BE09KE,normal,3,0.7740017427853811
BE09KE,normal,4,0.9241329479768786
BE09KE,normal,5,0.8615023474178404
BE09KE,normal,6,0.9502373706634206
BE09KE,normal,7,0.9275805313896074
BE09KE,normal,8,0.9618798955613577
BE09KE,normal,9,0.9945804703377529
BE09KE,normal,10,0.8345052737317931
BE09KE,normal,11,0.8325444953902282
BE09KE,normal,12,0.9284170842719875
BE09KE,normal,13,0.8235294117647058
BE09KE,normal,14,0.7725468558104764
BE09KE,normal,15,0.8040973479297762
BE09KE,normal,16,0.9738134206219312
BE09KE,normal,17,0.9268282015395382
BE09KE,normal,18,0.9807592077831828
BE09KE,normal,19,0.8791168577701879
ED06RA,easy,0,0.9191763880068189
ED06RA,easy,1,0.8735933072459857
ED06RA,easy,2,0.957069306930693
ED06RA,easy,3,0.921645445641528
ED06RA,easy,4,0.9952939842376821
ED06RA,easy,5,0.8698732054909357
ED06RA,easy,6,0.9021545019874416
ED06RA,easy,7,0.9734587135544179
ED06RA,easy,8,0.926254349534179
ED06RA,easy,9,0.9159361302442078
ED06RA,easy,10,0.8352629741680242
ED06RA,easy,11,0.9556005984267169
ED06RA,easy,12,0.8733714285714286
ED06RA,easy,13,0.9114204269771955
ED06RA,easy,14,0.9612445654560625
ED06RA,easy,15,0.8440647118301314
ED06RA,easy,16,0.9604612850082372
ED06RA,easy,17,0.9547029524290768
ED06RA,easy,18,0.8620632963419647
ED06RA,easy,19,0.9730157561478427
ED06RA,hard,0,0.9066784308402335
ED06RA,hard,1,1.0
ED06RA,hard,2,0.8561501255127656
ED06RA,hard,3,0.9263694901546023
ED06RA,hard,4,0.9242837423829243
ED06RA,hard,5,0.7787112864142066
ED06RA,hard,6,0.91337281366203
ED06RA,hard,7,0.9148042391960903
ED06RA,hard,8,0.9759914255091104
ED06RA,hard,9,0.8947897229797618
ED06RA,hard,10,0.8311492883566368
ED06RA,hard,11,0.9843899469519088
ED06RA,hard,12,0.9926238145416227
ED06RA,hard,13,0.9414723365340649
ED06RA,hard,14,0.9172597198292007
ED06RA,hard,15,0.7607221914775871
ED06RA,hard,16,0.9020077709121408
ED06RA,hard,17,0.718392767453541
ED06RA,hard,18,0.7552687038988409
ED06RA,hard,19,0.9425663653832468
ED06RA,normal,0,0.7841198423494123
ED06RA,normal,1,0.8928472093454478
ED06RA,normal,2,0.820965558172747
ED06RA,normal,3,0.9909284195605953
ED06RA,normal,4,0.9058874552748564
ED06RA,normal,5,1.0
ED06RA,normal,6,0.7776774330641734
ED06RA,normal,7,0.9543420759894198
ED06RA,normal,8,0.8585202300088599
ED06RA,normal,9,0.8839212244226233
