subject_id,game_difficulty,world_number,time,score,experience,game_status
AN06AN,easy,15,35352.0,17543.0,4,won
AN06AN,easy,16,25894.0,17543.0,4,won
AN06AN,easy,17,35691.0,17543.0,4,won
AN06AN,easy,18,65800.0,17543.0,4,won
AN06AN,easy,19,21687.0,17543.0,4,won
AN06AN,normal,0,13300.0,17543.0,4,lost
AN06AN,normal,1,11190.0,17543.0,4,lost
AN06AN,normal,2,74969.0,17543.0,4,timed_out
AN06AN,normal,3,63359.0,17543.0,4,won
AN06AN,normal,4,35004.0,17543.0,4,won
AN06AN,normal,5,25901.0,17543.0,4,won
AN06AN,normal,6,13653.0,17543.0,4,lost
AN06AN,normal,7,44102.0,17543.0,4,won
AN06AN,normal,8,51811.0,17543.0,4,won
AN06AN,normal,9,48318.0,17543.0,4,won
AN06AN,normal,10,63707.0,17543.0,4,won
AN06AN,normal,11,11899.0,17543.0,4,lost
AN06AN,normal,12,18544.0,17543.0,4,lost
AN06AN,normal,13,74981.0,17543.0,4,timed_out
AN06AN,normal,14,40258.0,17543.0,4,won
AN06AN,normal,15,61245.0,17543.0,4,won
AN06AN,normal,16,49693.0,17543.0,4,won
AN06AN,normal,17,47242.0,17543.0,4,won
AN06AN,normal,18,72827.0,17543.0,4,won
AN06AN,normal,19,38500.0,17543.0,4,won
AN06AN,hard,0,13990.0,17543.0,4,lost
AN06AN,hard,1,53905.0,17543.0,4,won
AN06AN,hard,2,12517.0,17543.0,4,lost
AN06AN,hard,3,74978.0,17543.0,4,timed_out
AN06AN,hard,4,71404.0,17543.0,4,won
AN06AN,hard,5,7347.0,17543.0,4,lost
AN06AN,hard,6,9093.0,17543.0,4,lost
AN06AN,hard,7,13989.0,17543.0,4,lost
AN06AN,hard,8,55659.0,17543.0,4,lost
AN06AN,hard,9,10148.0,17543.0,4,lost
AN06AN,hard,10,74974.0,17543.0,4,timed_out
AN06AN,hard,11,9098.0,17543.0,4,lost
AN06AN,hard,12,54251.0,17543.0,4,won
AN06AN,hard,13,41649.0,17543.0,4,won
AN06AN,hard,14,2095.0,17543.0,4,lost
AN06AN,hard,15,54959.0,17543.0,4,won
AN06AN,hard,16,6651.0,17543.0,4,lost
AN06AN,hard,17,19950.0,17543.0,4,lost
AN06AN,hard,18,45145.0,17543.0,4,won
AN06AN,hard,19,74967.0,17543.0,4,timed_out
BE09KE,easy,0,29066.0,18270.0,5,won
BE09KE,easy,1,13305.0,18270.0,5,lost
BE09KE,easy,2,16086.0,18270.0,5,lost
BE09KE,easy,3,70347.0,18270.0,5,won
BE09KE,easy,4,61632.0,18270.0,5,won
BE09KE,easy,5,38520.0,18270.0,5,won
BE09KE,easy,6,17155.0,18270.0,5,lost
BE09KE,easy,7,20989.0,18270.0,5,won
BE09KE,easy,8,23106.0,18270.0,5,won
BE09KE,easy,9,17841.0,18270.0,5,won
BE09KE,easy,10,44475.0,18270.0,5,won
BE09KE,easy,11,39915.0,18270.0,5,won
BE09KE,easy,12,35356.0,18270.0,5,won
BE09KE,easy,13,25891.0,18270.0,5,won
BE09KE,easy,14,38161.0,18270.0,5,won
BE09KE,easy,15,61622.0,18270.0,5,won
