subject_id,game_difficulty,world_number,player_x_field,player_y_field,score,weighted_fix_distance_euclidean,weighted_fix_distance_manhattan
AL09OL,easy,5,4.0,11.0,15380.0,80.54435587653342,0.4426229508196721
AL09OL,easy,5,3.0,11.0,15380.0,116.43371741395676,1.056
AL09OL,easy,5,3.0,12.0,15380.0,918.2843270901164,8.304347826086957
AL09OL,easy,5,4.0,12.0,15380.0,578.7237421918546,5.194650817236256
AL09OL,easy,5,5.0,12.0,15380.0,594.0101531868225,5.632911392405063
AL09OL,easy,5,6.0,12.0,15380.0,327.95035480492805,3.7555555555555555
AL09OL,easy,5,7.0,12.0,15380.0,432.1802896591486,4.262135922330097
AL09OL,easy,5,8.0,12.0,15380.0,435.0324675058482,3.563106796116505
AL09OL,easy,5,9.0,12.0,15380.0,223.88821055805298,2.2705882352941176
AL09OL,easy,5,10.0,12.0,15380.0,150.74303381276073,1.721311475409836
AL09OL,easy,5,11.0,12.0,15380.0,128.73148625334366,1.2139883430474605
AL09OL,easy,5,12.0,12.0,15380.0,122.48799714409908,1.5
AL09OL,easy,5,12.0,13.0,15380.0,60.86387841760746,0.0
AL09OL,easy,5,11.0,13.0,15380.0,673.4800336892336,8.833333333333334
AL09OL,easy,5,10.0,13.0,15380.0,363.24292822037535,4.482758620689655
AL09OL,easy,6,9.0,0.0,15380.0,408.517745865903,4.731734523145566
AL09OL,easy,6,10.0,0.0,15380.0,148.9572856380658,2.0
AL09OL,easy,6,9.0,1.0,15380.0,221.14998319773972,3.0
AL09OL,easy,6,9.0,3.0,15380.0,169.37647686646633,2.121490803484995
AL09OL,easy,6,9.0,4.0,15380.0,167.7995727913486,1.4113333333333333
AL09OL,easy,6,10.0,5.0,15380.0,167.09997150670122,1.4669338677354709
AL09OL,easy,6,10.0,6.0,15380.0,264.81838016394744,3.0
AL09OL,easy,6,10.0,7.0,15380.0,231.1077830688968,3.0
AL09OL,easy,6,11.0,7.0,15380.0,224.11024393264012,3.0
AL09OL,easy,6,12.0,8.0,15380.0,232.13122592577946,3.0
AL09OL,easy,6,12.0,9.0,15380.0,171.14292383589734,2.574712643678161
AL09OL,easy,6,12.0,10.0,15380.0,228.14026586496135,3.4466666666666668
AL09OL,easy,6,12.0,11.0,15380.0,290.469685649321,3.0
AL09OL,easy,6,13.0,11.0,15380.0,255.11858027199818,3.0
AL09OL,easy,6,14.0,11.0,15380.0,186.61664285288467,2.5986206896551725
AL09OL,easy,6,15.0,11.0,15380.0,162.80085487089133,1.7925
AL09OL,easy,6,14.0,12.0,15380.0,88.54741444165134,1.8200808625336926
AL09OL,easy,6,14.0,13.0,15380.0,145.99064003210748,1.4185792349726776
AL09OL,easy,6,15.0,13.0,15380.0,185.73207062617035,2.044276812069531
AL09OL,easy,7,9.0,0.0,15380.0,339.8904322765589,4.2651340996168585
AL09OL,easy,7,9.0,1.0,15380.0,389.53008271736786,5.0
AL09OL,easy,7,9.0,3.0,15380.0,281.2526116892673,4.0
AL09OL,easy,7,9.0,4.0,15380.0,281.85395928607244,4.0
AL09OL,easy,7,9.0,5.0,15380.0,203.55393646114712,2.0
AL09OL,easy,7,10.0,5.0,15380.0,408.7799284397903,4.761904761904762
AL09OL,easy,7,10.0,6.0,15380.0,408.2943027597862,5.0
AL09OL,easy,7,10.0,9.0,15380.0,245.4135431036205,3.0
AL09OL,easy,7,10.0,10.0,15380.0,165.3443346265519,1.653579676674365
AL09OL,easy,7,11.0,10.0,15380.0,219.73623276085178,3.0
AL09OL,easy,7,11.0,11.0,15380.0,28.624833685420896,0.0
AL09OL,easy,7,10.0,11.0,15380.0,127.65868391175353,1.22693831352575
AL09OL,easy,7,10.0,12.0,15380.0,40.624134651247786,0.0
AL09OL,easy,8,9.0,0.0,15380.0,246.4167478751597,2.536363636363636
AL09OL,easy,8,8.0,0.0,15380.0,257.3671527951677,3.0
AL09OL,easy,8,7.0,0.0,15380.0,242.97676261446708,2.8142857142857145
AL09OL,easy,8,7.0,1.0,15380.0,212.649352347563,2.909985935302391
AL09OL,easy,8,7.0,2.0,15380.0,102.1537965882238,1.2677824267782427
AL09OL,easy,8,7.0,3.0,15380.0,298.2935877572143,2.0
AL09OL,easy,8,8.0,3.0,15380.0,266.1870650143191,3.0292307692307694
AL09OL,easy,8,8.0,4.0,15380.0,283.19261047509866,3.0
AL09OL,easy,8,8.0,5.0,15380.0,272.1347295286402,3.0
AL09OL,easy,8,8.0,6.0,15380.0,215.92640838614722,3.0
AL09OL,easy,8,7.0,6.0,15380.0,243.18564058375844,2.0
AL09OL,easy,8,7.0,7.0,15380.0,441.21257052927496,5.0
AL09OL,easy,8,7.0,8.0,15380.0,469.6003162616072,4.909836065573771
AL09OL,easy,8,8.0,8.0,15380.0,463.71171930181566,4.546375681995324
AL09OL,easy,8,9.0,8.0,15380.0,238.3142433366992,2.498902706656913
AL09OL,easy,8,10.0,8.0,15380.0,147.30101408556519,1.8921852387843705
AL09OL,easy,8,10.0,9.0,15380.0,221.20290815664023,3.153225806451613
AL09OL,easy,8,9.0,9.0,15380.0,128.1774130010541,1.4887780548628429
AL09OL,easy,8,8.0,9.0,15380.0,249.95352302366902,3.5065123010130246
AL09OL,easy,8,8.0,11.0,15380.0,230.71804598373814,3.0
AL09OL,easy,8,8.0,12.0,15380.0,155.62700857902513,2.0
AL09OL,easy,8,8.0,13.0,15380.0,182.97031514699592,2.5873015873015874
AL09OL,easy,9,9.0,0.0,15380.0,326.1942297160707,3.8118811881188117
AL09OL,easy,9,8.0,0.0,15380.0,170.6086249582871,3.0
AL09OL,easy,9,7.0,0.0,15380.0,142.22421062250694,1.6165413533834587
AL09OL,easy,9,7.0,1.0,15380.0,164.7303875459998,2.0
AL09OL,easy,9,7.0,2.0,15380.0,270.5876725399938,3.2821576763485476
AL09OL,easy,9,7.0,3.0,15380.0,178.4217332979682,2.0
AL09OL,easy,9,7.0,4.0,15380.0,305.92356769838165,3.553878188443519
AL09OL,easy,9,7.0,5.0,15380.0,155.05999766033153,1.5824111822947
AL09OL,easy,9,8.0,5.0,15380.0,91.21303662851952,0.7825
AL09OL,easy,9,8.0,6.0,15380.0,49.58903198141079,0.19623971797884843
AL09OL,easy,9,8.0,7.0,15380.0,138.38442399851132,1.7914929107589659
AL09OL,easy,9,7.0,7.0,15380.0,85.96258208029377,0.46466809421841543
AL09OL,easy,9,7.0,8.0,15380.0,144.16234064917302,2.0
AL09OL,easy,9,8.0,8.0,15380.0,229.64909754798398,3.230414746543779
AL09OL,easy,9,8.0,9.0,15380.0,43.96045397482264,1.0
AL09OL,easy,9,7.0,9.0,15380.0,158.44113034882278,1.7829942618675012
AL09OL,easy,9,7.0,10.0,15380.0,139.41799217808787,2.0
AL09OL,easy,9,7.0,11.0,15380.0,118.41283942584818,0.4042207792207792
AL09OL,easy,9,6.0,11.0,15380.0,218.8741604268214,2.3467062902426945
AL09OL,easy,9,5.0,11.0,15380.0,88.96299254477036,0.9869230769230769
AL09OL,easy,9,4.0,11.0,15380.0,125.93812189672752,2.0
AL09OL,easy,9,5.0,12.0,15380.0,245.76726392436154,2.3228894691035684
AL09OL,easy,9,6.0,12.0,15380.0,241.64023225354777,2.455613577023499
AL09OL,easy,9,7.0,12.0,15380.0,289.4997148761222,3.0561259411362083
AL09OL,easy,9,8.0,12.0,15380.0,200.24882612349847,1.919833729216152
AL09OL,easy,9,9.0,12.0,15380.0,135.03856991931607,1.3630490956072352
AL09OL,easy,9,10.0,12.0,15380.0,160.1480404970325,2.0
AL09OL,easy,9,10.0,13.0,15380.0,55.53649053074181,0.36014405762304924
AL09OL,easy,9,9.0,13.0,15380.0,93.79786257587725,1.2607561929595827
AL09OL,easy,10,9.0,0.0,15380.0,410.95425410024353,5.0476190476190474
AL09OL,easy,10,9.0,1.0,15380.0,652.5485735856546,8.0
AL09OL,easy,10,9.0,3.0,15380.0,516.2771903330281,7.0
AL09OL,easy,10,9.0,5.0,15380.0,385.18879426355034,5.0
AL09OL,easy,10,10.0,5.0,15380.0,346.63750704311155,4.0
AL09OL,easy,10,11.0,5.0,15380.0,343.623782410199,4.0
AL09OL,easy,10,11.0,8.0,15380.0,361.88267049837003,4.0
AL09OL,easy,10,10.0,8.0,15380.0,157.98937058769746,2.71875
AL09OL,easy,10,9.0,8.0,15380.0,240.1555183239064,2.5730337078651684
AL09OL,easy,10,9.0,9.0,15380.0,275.38381742465424,2.432661717921527
AL09OL,easy,10,10.0,9.0,15380.0,696.7934640759032,7.340425531914893
AL09OL,easy,10,11.0,9.0,15380.0,242.2655165906054,2.0344827586206895
AL09OL,easy,10,12.0,9.0,15380.0,472.1107953478481,4.796116504854369
AL09OL,easy,10,13.0,9.0,15380.0,308.4132907748227,3.7884615384615383
AL09OL,easy,10,14.0,9.0,15380.0,149.92320665545662,2.323943661971831
AL09OL,easy,10,14.0,10.0,15380.0,213.52062128619679,2.734513274336283
AL09OL,easy,10,13.0,11.0,15380.0,211.04897241042315,3.0
AL09OL,easy,10,14.0,11.0,15380.0,246.61769612992825,3.0
AL09OL,easy,10,15.0,12.0,15380.0,182.74410330093318,2.0
AL09OL,easy,10,15.0,13.0,15380.0,194.6287157902775,2.0
AL09OL,easy,10,16.0,13.0,15380.0,95.7413147304538,1.0
AL09OL,easy,11,9.0,0.0,15380.0,398.75611322596444,4.585365853658536
AL09OL,easy,11,9.0,1.0,15380.0,245.11374883512002,3.0840336134453783
AL09OL,easy,11,9.0,2.0,15380.0,117.80665535902364,1.0
AL09OL,easy,11,9.0,3.0,15380.0,232.7867166778302,2.066666666666667
AL09OL,easy,11,9.0,4.0,15380.0,347.2625207784487,4.0
AL09OL,easy,11,9.0,6.0,15380.0,197.60485759923043,2.0
AL09OL,easy,11,8.0,7.0,15380.0,231.64801128611631,3.0
AL09OL,easy,11,8.0,8.0,15380.0,97.42029482241634,1.7183098591549295
AL09OL,easy,11,7.0,9.0,15380.0,283.5558734692467,3.0
AL09OL,easy,11,8.0,9.0,15380.0,504.87927780341096,5.142857142857143
AL09OL,easy,11,9.0,9.0,15380.0,227.78849916887137,2.0214703968770333
AL09OL,easy,11,10.0,9.0,15380.0,510.17965275897404,4.640449438202247
AL09OL,easy,11,11.0,9.0,15380.0,544.3610443457649,5.785714285714286
AL09OL,easy,11,12.0,9.0,15380.0,344.9604498959979,3.7966101694915255
AL09OL,easy,11,13.0,9.0,15380.0,299.7030196413759,3.4210526315789473
AL09OL,easy,11,14.0,9.0,15380.0,203.61621762689893,2.451101321585903
AL09OL,easy,11,14.0,10.0,15380.0,262.4812801453855,3.0
AL09OL,easy,11,16.0,10.0,15380.0,107.64758179571267,1.0
AL09OL,easy,11,15.0,10.0,15380.0,330.93605167225127,3.6179775280898876
AL09OL,easy,11,13.0,10.0,15380.0,365.2006154459065,3.86046511627907
AL09OL,easy,11,12.0,10.0,15380.0,195.84522651609464,2.037037037037037
AL09OL,easy,11,11.0,10.0,15380.0,266.89113651678866,3.0
AL09OL,easy,11,12.0,11.0,15380.0,162.50233329306457,1.7219251336898396
AL09OL,easy,11,11.0,11.0,15380.0,367.03445342365336,4.0
AL09OL,easy,11,13.0,11.0,15380.0,178.46360490138997,2.359154929577465
AL09OL,easy,11,14.0,12.0,15380.0,240.0839968494102,2.731707317073171
AL09OL,easy,11,13.0,12.0,15380.0,223.59394168823297,2.5510204081632653
AL09OL,easy,11,12.0,12.0,15380.0,211.65926751076404,2.0384615384615383
AL09OL,easy,11,11.0,12.0,15380.0,172.0122461324864,2.0080862533692723
AL09OL,easy,11,10.0,12.0,15380.0,166.0979845151188,1.647887323943662
AL09OL,easy,11,9.0,12.0,15380.0,104.44284738765737,0.8530088786583361
AL09OL,easy,11,8.0,12.0,15380.0,91.17558113232492,0.8636653217243576
AL09OL,easy,11,7.0,12.0,15380.0,93.20051621165648,1.5
